date,block,population,plant,wet_wgt,petal_flower,length,area,dry_wgt,water_mg,water_%,
5/22/25,2,Cojo,5,0.12799,flower,,,,,,
5/22/25,2,Cojo,6,0.06819,flower,,,,,,
5/22/25,2,Cojo,7,0.12113,flower,,,,,,
5/22/25,2,Cojo,8,0.07373,flower,,,,,,
5/22/25,2,Cojo,9,0.13656,flower,,,,,,
5/22/25,2,Cojo,10,0.04408,flower,,,,,,
5/22/25,2,Cojo,11,0.07742,flower,,,,,,
5/22/25,2,Cojo,12,0.08443,flower,,,,,,
5/22/25,2,Cojo,13,0.13244,flower,,,,,,
5/22/25,2,Cojo,14,0.13173,flower,,,,,,
5/22/25,2,Cojo,15,0.1241,flower,,,,,,
5/23/25,2,Pt. Conception,1,0.09945,flower,,,,,,
5/23/25,2,Pt. Conception,2,0.09143,flower,,,,,,
5/23/25,2,Pt. Conception,3,0.14326,flower,,,,,,
5/23/25,2,Pt. Conception,4,0.23337,flower,,,,,,
5/23/25,2,Pt. Conception,5,0.17912,flower,,,,,,
5/23/25,2,Pt. Conception,6,0.07057,flower,,,,,,
5/23/25,2,Pt. Conception,7,0.14239,flower,,,,,,
5/23/25,2,Pt. Conception,8,0.05432,flower,note: only 1 other petal,,,,,
5/23/25,2,Pt. Conception,9,0.2561,flower,,,,,,
5/23/25,2,Pt. Conception,10,0.1093,flower,,,,,,
5/23/25,2,Pt. Conception,11,0.10738,flower,,,,,,
5/23/25,2,Pt. Conception,12,0.16599,flower,,,,,,
5/23/25,2,Pt. Conception,13,0.09827,flower,,,,,,
5/23/25,2,Pt. Conception,14,0.20577,flower,,,,,,
5/23/25,2,Pt. Conception,15,0.05124,flower,,,,,,
5/23/25,2,Percos,1,0.17515,flower,,,,,,
5/23/25,2,Percos,2,0.12569,flower,,,,,,
5/23/25,2,Percos,3,0.18176,flower,,,,,,
5/23/25,2,Percos,4,0.13627,flower,,,,,,
5/23/25,2,Percos,5,0.1498,flower,,,,,,
5/23/25,2,Percos,6,0.11876,flower,,,,,,
5/23/25,2,Percos,7,0.19547,flower,,,,,,
5/23/25,2,Percos,8,0.13273,flower,,,,,,
5/23/25,2,Percos,9,0.12263,flower,,,,,,
5/23/25,2,Percos,10,0.19818,flower,,,,,,
5/23/25,2,Percos,11,0.07651,flower,,,,,,
5/23/25,2,Percos,12,0.09861,flower,,,,,,
5/23/25,2,Percos,13,0.10714,flower,,,,,,
5/23/25,2,Percos,14,0.17354,flower,,,,,,
